Nutrient,Food class level 1,Avg (Concentration levels)
niacin equivalents,"Sugar, confectionery and water-based sweet desserts",1.14
niacin equivalents,Vegetables and vegetable products,2.13
niacin equivalents,Water and water-based beverages,0.27
Phosphorus (P),"Additives,flavours, baking and processing aids",894.58
Phosphorus (P),Alcoholic beverages,15.07
Phosphorus (P),Animal and vegetable fats and oils,24.58
Phosphorus (P),"Coffee, cocoa, tea and infusions",191.5
Phosphorus (P),Composite dishes,109.03
Phosphorus (P),Eggs and egg products,287.9
Phosphorus (P),"Fish, seafood, amphibians, reptiles and invertebrates",232.41
Phosphorus (P),Food products for young population,142.55
Phosphorus (P),Fruit and fruit products,23.09
Phosphorus (P),Fruit and vegetable juices and nectars,24.51
Phosphorus (P),Grains and grain-based products,171.37
Phosphorus (P),Human milk,12.5
Phosphorus (P),"Legumes, nuts, oilseeds and spices",296.75
Phosphorus (P),Meat and meat products,200.01
Phosphorus (P),Milk and dairy products,311.97
Phosphorus (P),"Products for non-standard diets, food imitates and food supplements or fortifying agents",187.86
Phosphorus (P),"Seasoning, sauces and condiments",115.39
Phosphorus (P),"Starchy roots or tubers and products thereof, sugar plants",71.64
Phosphorus (P),"Sugar, confectionery and water-based sweet desserts",96.57
Phosphorus (P),Vegetables and vegetable products,64.7
Phosphorus (P),Water and water-based beverages,8.68
Potassium (K),"Additives,flavours, baking and processing aids",194.03
Potassium (K),Alcoholic beverages,49.11
Potassium (K),Animal and vegetable fats and oils,26.53
Potassium (K),"Coffee, cocoa, tea and infusions","1,278.89"
Potassium (K),Composite dishes,191.86
Potassium (K),Eggs and egg products,232.59
Potassium (K),"Fish, seafood, amphibians, reptiles and invertebrates",306.13
Potassium (K),Food products for young population,276.03
Potassium (K),Fruit and fruit products,183.55
Potassium (K),Fruit and vegetable juices and nectars,210.61
Potassium (K),Grains and grain-based products,205.69
Potassium (K),Human milk,52
Potassium (K),"Legumes, nuts, oilseeds and spices",682.51
Potassium (K),Meat and meat products,261.24
Potassium (K),Milk and dairy products,158.44
Potassium (K),"Products for non-standard diets, food imitates and food supplements or fortifying agents",318.37
Potassium (K),"Seasoning, sauces and condiments",837.17
Potassium (K),"Starchy roots or tubers and products thereof, sugar plants",460.7
Potassium (K),"Sugar, confectionery and water-based sweet desserts",234.5
Potassium (K),Vegetables and vegetable products,315.93
Potassium (K),Water and water-based beverages,17.6
riboflavin,"Additives,flavours, baking and processing aids",0.25
riboflavin,Alcoholic beverages,0.02
riboflavin,Animal and vegetable fats and oils,0.01
riboflavin,"Coffee, cocoa, tea and infusions",0.31
riboflavin,Composite dishes,0.11
riboflavin,Eggs and egg products,0.61
riboflavin,"Fish, seafood, amphibians, reptiles and invertebrates",0.16
riboflavin,Food products for young population,0.2
riboflavin,Fruit and fruit products,0.04
riboflavin,Fruit and vegetable juices and nectars,0.04
riboflavin,Grains and grain-based products,0.13
riboflavin,"Legumes, nuts, oilseeds and spices",0.17
riboflavin,Meat and meat products,0.55
riboflavin,Milk and dairy products,0.29
riboflavin,"Products for non-standard diets, food imitates and food supplements or fortifying agents",0.12
riboflavin,"Seasoning, sauces and condiments",0.11
riboflavin,"Starchy roots or tubers and products thereof, sugar plants",0.05
riboflavin,"Sugar, confectionery and water-based sweet desserts",0.11
riboflavin,Vegetables and vegetable products,0.13
riboflavin,Water and water-based beverages,0.02
thiamin,"Additives,flavours, baking and processing aids",0.05
thiamin,Alcoholic beverages,0.01
thiamin,Animal and vegetable fats and oils,0
thiamin,"Coffee, cocoa, tea and infusions",0.04
thiamin,Composite dishes,0.09
thiamin,Eggs and egg products,0.14
thiamin,"Fish, seafood, amphibians, reptiles and invertebrates",0.1
thiamin,Food products for young population,0.19
thiamin,Fruit and fruit products,0.03
thiamin,Fruit and vegetable juices and nectars,0.06
thiamin,Grains and grain-based products,0.19
thiamin,"Legumes, nuts, oilseeds and spices",0.34
thiamin,Meat and meat products,0.26
thiamin,Milk and dairy products,0.05
thiamin,"Products for non-standard diets, food imitates and food supplements or fortifying agents",0.1
thiamin,"Seasoning, sauces and condiments",0.38
thiamin,"Starchy roots or tubers and products thereof, sugar plants",0.09
thiamin,"Sugar, confectionery and water-based sweet desserts",0.04
thiamin,Vegetables and vegetable products,0.08
thiamin,Water and water-based beverages,0.03
Total iron,"Additives,flavours, baking and processing aids",4.89
Total iron,Alcoholic beverages,0.33
Total iron,Animal and vegetable fats and oils,0.09
Total iron,"Coffee, cocoa, tea and infusions",10.4
Total iron,Composite dishes,0.99
Total iron,Eggs and egg products,3.31
Total iron,"Fish, seafood, amphibians, reptiles and invertebrates",1.49
Total iron,Food products for young population,2.33
Total iron,Fruit and fruit products,0.61
Total iron,Fruit and vegetable juices and nectars,0.46
Total iron,Grains and grain-based products,2.15
Total iron,"Legumes, nuts, oilseeds and spices",7.38
Total iron,Meat and meat products,3.5
Total iron,Milk and dairy products,0.22
Total iron,"Products for non-standard diets, food imitates and food supplements or fortifying agents",1.61
Total iron,"Seasoning, sauces and condiments",3.48
Total iron,"Starchy roots or tubers and products thereof, sugar plants",1.08
Total iron,"Sugar, confectionery and water-based sweet desserts",2.36
Total iron,Vegetables and vegetable products,1.37
Total iron,Water and water-based beverages,0.22
Total Selenium,"Additives,flavours, baking and processing aids",0.63
Total Selenium,Alcoholic beverages,0.42
Total Selenium,Animal and vegetable fats and oils,0.4
Total Selenium,"Coffee, cocoa, tea and infusions",4.24
Total Selenium,Composite dishes,6.99
Total Selenium,Eggs and egg products,31.65
Total Selenium,"Fish, seafood, amphibians, reptiles and invertebrates",36.59
Total Selenium,Food products for young population,2.82
Total Selenium,Fruit and fruit products,0.71
Total Selenium,Fruit and vegetable juices and nectars,0.56
Total Selenium,Grains and grain-based products,4.95
Total Selenium,Human milk,1.05
Total Selenium,"Legumes, nuts, oilseeds and spices",6.53
Total Selenium,Meat and meat products,28.62
Total Selenium,Milk and dairy products,6.76
Total Selenium,"Products for non-standard diets, food imitates and food supplements or fortifying agents",2.26
Total Selenium,"Seasoning, sauces and condiments",3.81
Total Selenium,"Starchy roots or tubers and products thereof, sugar plants",1.2
Total Selenium,"Sugar, confectionery and water-based sweet desserts",3.51
Total Selenium,Vegetables and vegetable products,2.59
Total Selenium,Water and water-based beverages,0.03
vitamin B-12,"Additives,flavours, baking and processing aids",0.01
vitamin B-12,Alcoholic beverages,0.03
vitamin B-12,Animal and vegetable fats and oils,0.11
vitamin B-12,"Coffee, cocoa, tea and infusions",0.16
vitamin B-12,Composite dishes,0.76
vitamin B-12,Eggs and egg products,3.46
vitamin B-12,"Fish, seafood, amphibians, reptiles and invertebrates",4.41
vitamin B-12,Food products for young population,0.43
vitamin B-12,Fruit and fruit products,0.01
vitamin B-12,Fruit and vegetable juices and nectars,0.12
vitamin B-12,Grains and grain-based products,0.13
